episode,reward
0,-0.643
100,0.6625
200,0.469
300,0.3805
400,0.7385
500,1.1505
600,-0.3945
700,0.942
800,-2.6325
900,2.0045
1000,2.224
1100,1.096
1200,0.063
1300,1.184
1400,2.3975
1500,-1.4565
1600,4.5795
1700,0.494
1800,1.402
1900,-1.3805
2000,0.3295
2100,1.223
2200,-1.303
2300,1.663
2400,2.7205
2500,3.322
2600,0.4585
2700,0.8985
2800,0.4645
2900,3.069
3000,2.56
3100,1.207
3200,1.166
3300,5.549
3400,1.166
3500,4.0785
3600,2.5105
3700,2.6125
3800,3.5925
3900,1.326
4000,4.6595
4100,5.558
4200,-0.2935
4300,5.638
4400,2.8285
4500,4.5605
4600,-0.2815
4700,1.413
4800,0.6045
4900,2.884
5000,3.5485
5100,3.0575
5200,3.3675
5300,1.8315
5400,2.37
5500,5.214
5600,2.037
5700,3.937
5800,1.4065
5900,1.7785
6000,4.711
6100,0.4025
6200,3.879
6300,1.537
6400,1.52
6500,0.453
6600,1.74
6700,0.561
6800,-1.4915
6900,1.9185
7000,3.9195
7100,1.079
7200,1.8615
7300,3.129
7400,5.6565
7500,1.938
7600,1.975
7700,1.9425
7800,4.6325
7900,5.8085
8000,4.2015
8100,4.1165
8200,4.364
8300,4.3055
8400,-0.2435
8500,-0.6395
8600,3.704
8700,4.767
8800,2.4505
8900,4.1155
9000,1.8915
9100,1.958
9200,0.853
9300,0.999
9400,2.407
9500,3.321
9600,2.4525
9700,1.946
9800,3.988
9900,5.1035
10000,4.399
10100,5.016
10200,3.3765
10300,3.7675
10400,5.868
10500,-1.2495
10600,4.627
10700,5.3065
10800,2.13
10900,0.663
11000,1.2315
11100,4.8115
11200,3.456
11300,3.2955
11400,2.608
11500,2.5205
11600,4.258
11700,3.849
11800,-2.106
11900,2.192
12000,6.6955
12100,4.2895
12200,1.219
12300,3.3035
12400,3.403
12500,6.012
12600,6.323
12700,2.9705
12800,7.7985
12900,4.5095
13000,1.502
13100,5.9905
13200,4.529
13300,2.6435
13400,6.391
13500,4.335
13600,0.66
13700,6.074
13800,6.3745
13900,4.312
14000,4.583
14100,2.962
14200,6.055
14300,5.8635
14400,4.6975
14500,3.0605
14600,5.315
14700,1.5925
14800,4.6945
14900,5.1335
15000,7.5495
15100,2.665
15200,4.117
15300,5.3245
15400,4.6965
15500,6.2315
15600,5.9085
15700,6.46
15800,6.986
15900,4.6915
16000,5.6705
16100,2.403
16200,2.051
16300,4.415
16400,5.7865
16500,5.294
16600,5.988
16700,3.845
16800,5.284
16900,2.6605
17000,3.6275
17100,3.5225
17200,6.4765
17300,7.462
17400,4.033
17500,3.55
17600,0.475
17700,2.3005
17800,3.633
17900,4.3355
18000,5.0435
18100,4.95
18200,3.0785
18300,4.5415
18400,4.877
18500,5.9705
18600,5.65
18700,3.4955
18800,8.339
18900,6.969
19000,3.6925
19100,2.261
19200,0.939
19300,5.802
19400,5.9615
19500,6.348
19600,7.4895
19700,4.609
19800,6.115
19900,5.3685
20000,4.021
20100,4.7285
20200,7.333
20300,7.6525
20400,5.0185
20500,4.5125
20600,5.7815
20700,4.6735
20800,3.866
20900,5.763
21000,5.846
21100,5.7415
21200,4.081
21300,4.533
21400,4.2835
21500,6.5135
21600,8.381
21700,4.847
21800,5.3845
21900,4.3965
22000,7.178
22100,5.892
22200,5.354
22300,6.774
22400,6.5655
22500,5.846
22600,4.3225
22700,5.4585
22800,4.9065
22900,5.951
23000,4.4055
23100,5.28
23200,6.2685
23300,5.12
23400,7.542
23500,6.83
23600,3.8265
23700,3.915
23800,5.7685
23900,5.061
24000,7.989
24100,6.7625
24200,2.9445
24300,5.097
24400,5.229
24500,8.7385
24600,5.517
24700,3.153
24800,5.8165
24900,4.445
25000,7.316
25100,6.108
25200,5.2255
25300,5.2545
25400,4.8025
25500,6.8515
25600,4.503
25700,6.298
25800,6.1365
25900,6.33
26000,4.9545
26100,8.332
26200,6.5955
26300,4.8135
26400,6.6655
26500,3.528
26600,5.656
26700,6.609
26800,4.842
26900,3.023
27000,5.984
27100,5.02
27200,7.681
27300,4.291
27400,4.5225
27500,5.9855
27600,5.6605
27700,4.853
27800,7.725
27900,3.887
28000,6.0425
28100,7.56
28200,6.4455
28300,4.286
28400,3.3925
28500,5.802
28600,6.117
28700,4.011
28800,4.193
28900,5.637
29000,2.6685
29100,2.8005
29200,7.182
29300,9.42
29400,5.069
29500,4.451
29600,6.021
29700,6.06
29800,4.916
29900,6.108
30000,9.307
30100,8.01
30200,8.894
30300,7.367
30400,5.544
30500,8.7635
30600,7.4105
30700,7.6025
30800,4.816
30900,6.5125
31000,7.756
31100,6.9165
31200,5.4945
31300,7.082
31400,4.9035
31500,5.879
31600,4.789
31700,4.184
31800,2.508
31900,5.354
32000,5.441
32100,5.471
32200,5.755
32300,4.527
32400,7.235
32500,2.724
32600,3.54
32700,6.409
32800,6.606
32900,4.208
33000,4.987
33100,5.833
33200,5.091
33300,7.365
33400,2.699
33500,5.738
33600,4.888
33700,5.6825
33800,7.017
33900,5.252
34000,5.192
34100,9.213
34200,6.493
34300,7.287
34400,6.626
34500,6.037
34600,3.459
34700,5.659
34800,5.205
34900,3.991
35000,6.139
35100,4.712
35200,7.698
35300,7.787
35400,8.157
35500,6.02
35600,3.93
35700,6.9295
35800,4.027
35900,3.802
36000,6.081
36100,4.417
36200,4.664
36300,6.922
36400,4.916
36500,5.379
36600,5.4695
36700,6.684
36800,7.11
36900,5.039
37000,7.577
37100,5.361
37200,2.219
37300,5.531
37400,6.37
37500,4.605
37600,6.2855
37700,7.576
37800,5.592
37900,3.152
38000,8.7
38100,5.724
38200,6.657
38300,2.039
38400,7.748
38500,7.519
38600,5.412
38700,6.7285
38800,7.3705
38900,6.8595
39000,1.7435
39100,3.953
39200,7.254
39300,5.049
39400,6.817
39500,5.153
39600,5.7935
39700,7.1985
39800,5.5755
39900,3.716
40000,5.757
40100,7.67
40200,3.702
40300,6.977
40400,7.477
40500,6.719
40600,5.506
40700,7.011
40800,9.844
40900,5.448
41000,7.512
41100,5.846
41200,5.547
41300,7.625
41400,7.155
41500,5.812
41600,4.104
41700,5.265
41800,7.787
41900,7.23
42000,10.103
42100,4.873
42200,5.962
42300,5.462
42400,6.704
42500,6.204
42600,6.824
42700,6.706
42800,7.316
42900,6.805
43000,3.794
43100,6.876
43200,6.986
43300,3.75
43400,7.514
43500,5.653
43600,6.623
43700,5.902
43800,5.597
43900,6.403
44000,6.217
44100,5.262
44200,4.592
44300,6.564
44400,5.895
44500,7.379
44600,4.723
44700,5.893
44800,7.732
44900,4.827
45000,3.895
45100,3.264
45200,6.017
45300,6.042
45400,6.653
45500,5.332
45600,7.564
45700,2.899
45800,5.275
45900,5.943
46000,7.716
46100,4.794
46200,5.374
46300,7.802
46400,5.737
46500,9.371
46600,6.019
46700,5.639
46800,5.466
46900,2.817
47000,4.02
47100,4.245
47200,5.67
47300,6.622
47400,5.783
47500,5.149
47600,5.312
47700,4.861
47800,5.802
47900,4.399
48000,5.132
48100,6.547
48200,4.885
48300,5.43
48400,4.269
48500,5.013
48600,6.722
48700,7.793
48800,5.224
48900,3.554
49000,6.763
49100,3.865
49200,7.223
49300,5.779
49400,5.28
49500,4.898
49600,5.495
49700,8.392
49800,3.68
49900,4.359
50000,6.925
50100,6.063
50200,7.12
50300,9.125
50400,6.218
50500,7.059
50600,6.221
50700,5.044
50800,1.764
50900,5.75
51000,3.649
51100,4.206
51200,6.972
51300,7.339
51400,6.493
51500,6.521
51600,5.734
51700,5.352
51800,5.547
51900,4.531
52000,4.921
52100,6.624
52200,7.438
52300,5.288
52400,5.813
52500,5.741
52600,4.88
52700,7.43
52800,5.104
52900,5.359
53000,2.887
53100,7.062
53200,6.949
53300,6.388
